               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.01987,           0.0047089,           0.0084969,             0.90004,             0.79204,             0.88756,             0.67074,            0.015338,           0.0022914,           0.0049673,           0.0021207,           0.0021207,           0.0021207
                  36,            0.019737,           0.0046278,           0.0082252,             0.89997,             0.79679,             0.88878,             0.67614,            0.015205,           0.0022808,           0.0048296,           0.0020667,           0.0020667,           0.0020667
                  37,            0.019732,           0.0046037,           0.0080571,             0.89289,             0.79034,             0.88479,             0.67016,            0.015358,           0.0022995,           0.0047681,           0.0020123,           0.0020123,           0.0020123
                  38,            0.019591,           0.0046015,           0.0081497,             0.89887,             0.80568,             0.89227,              0.6764,             0.01525,           0.0022804,           0.0046836,           0.0019575,           0.0019575,           0.0019575
                  39,            0.019524,            0.004628,           0.0080599,             0.88047,             0.82082,             0.89567,             0.67802,            0.015189,           0.0022886,           0.0044821,           0.0019025,           0.0019025,           0.0019025
                  40,            0.019527,            0.004604,           0.0079265,             0.90696,             0.79399,             0.89294,              0.6743,            0.015189,           0.0022897,           0.0044988,           0.0018473,           0.0018473,           0.0018473
                  41,            0.019219,           0.0046389,           0.0076524,             0.88519,             0.81261,             0.89576,             0.68222,            0.015042,            0.002277,           0.0043814,            0.001792,            0.001792,            0.001792
                  42,            0.019126,           0.0046151,            0.007758,             0.90542,             0.81347,             0.89358,                0.68,            0.015066,            0.002247,           0.0044063,           0.0017367,           0.0017367,           0.0017367
                  43,            0.019157,           0.0045595,           0.0077956,             0.87452,             0.83245,             0.89524,             0.67932,            0.015021,           0.0022452,           0.0043377,           0.0016815,           0.0016815,           0.0016815
                  44,             0.01915,           0.0046175,           0.0075107,             0.87782,             0.83709,              0.8955,             0.68039,            0.014949,           0.0022448,           0.0042793,           0.0016265,           0.0016265,           0.0016265
                  45,            0.019037,           0.0046178,           0.0074755,             0.90164,             0.82549,              0.8965,             0.68527,             0.01498,           0.0022401,           0.0042103,           0.0015717,           0.0015717,           0.0015717
                  46,            0.018885,           0.0045344,           0.0073066,             0.90577,             0.82069,              0.8947,              0.6816,            0.014969,           0.0022409,           0.0041374,           0.0015173,           0.0015173,           0.0015173
                  47,            0.019036,           0.0045917,           0.0074471,             0.91451,             0.80893,             0.89607,             0.68731,            0.014782,           0.0022258,           0.0041298,           0.0014633,           0.0014633,           0.0014633
                  48,            0.018731,           0.0044816,           0.0072911,             0.89186,             0.82438,             0.89871,             0.68766,            0.014881,           0.0022151,           0.0040856,           0.0014098,           0.0014098,           0.0014098
                  49,             0.01868,           0.0044845,           0.0071943,              0.9023,             0.81439,             0.89753,              0.6887,             0.01478,           0.0022251,           0.0041281,           0.0013569,           0.0013569,           0.0013569
                  50,             0.01856,           0.0044784,           0.0071114,             0.89979,             0.81801,              0.8984,              0.6905,            0.014766,            0.002215,           0.0040245,           0.0013047,           0.0013047,           0.0013047
                  51,            0.018458,           0.0044912,           0.0070473,             0.89874,             0.81961,             0.90261,             0.69174,            0.014809,           0.0022164,           0.0040299,           0.0012532,           0.0012532,           0.0012532
                  52,            0.018408,           0.0044863,           0.0069107,             0.88246,              0.8376,             0.90482,             0.69364,             0.01476,           0.0022141,           0.0040127,           0.0012025,           0.0012025,           0.0012025
                  53,            0.018468,           0.0044514,           0.0069724,             0.86534,             0.84629,             0.90148,             0.69554,            0.014671,           0.0022146,           0.0039048,           0.0011528,           0.0011528,           0.0011528
                  54,            0.018451,           0.0044344,           0.0067661,             0.89568,             0.83694,             0.90434,             0.69575,            0.014697,           0.0022073,           0.0038476,            0.001104,            0.001104,            0.001104
